"name","parent","size"
"2.1.12.10.3.NA.NA.sub.5.1","2.1.12.10.3.NA.NA.5",
"2.1.12.10.3.NA.NA.sub.5.2","2.1.12.10.3.NA.NA.5",
"2.1.12.10.3.NA.NA.sub.5.3","2.1.12.10.3.NA.NA.5",
"2.1.12.10.4.NA.NA.5","2.1.12.10.NA.NA.NA.4",
"2.1.12.10.4.NA.NA.sub.5.1","2.1.12.10.4.NA.NA.5",
"2.1.12.10.4.NA.NA.sub.5.2","2.1.12.10.4.NA.NA.5",
"2.1.12.10.4.NA.NA.sub.5.3","2.1.12.10.4.NA.NA.5",
"2.1.12.10.NA.NA.NA.sub.4.1","2.1.12.10.NA.NA.NA.4",
"2.1.12.10.NA.NA.NA.sub.4.2","2.1.12.10.NA.NA.NA.4",
"2.1.12.10.NA.NA.NA.sub.4.3","2.1.12.10.NA.NA.NA.4",
"2.1.12.2.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.2.1.NA.NA.5","2.1.12.2.NA.NA.NA.4",
"2.1.12.2.1.NA.NA.sub.5.1","2.1.12.2.1.NA.NA.5",
"2.1.12.2.1.NA.NA.sub.5.2","2.1.12.2.1.NA.NA.5",
"2.1.12.2.1.NA.NA.sub.5.3","2.1.12.2.1.NA.NA.5",
"2.1.12.2.2.NA.NA.5","2.1.12.2.NA.NA.NA.4",
"2.1.12.2.2.NA.NA.sub.5.1","2.1.12.2.2.NA.NA.5",
"2.1.12.2.3.NA.NA.5","2.1.12.2.NA.NA.NA.4",
"2.1.12.2.3.NA.NA.sub.5.1","2.1.12.2.3.NA.NA.5",
"2.1.12.2.3.NA.NA.sub.5.2","2.1.12.2.3.NA.NA.5",
"2.1.12.2.4.NA.NA.5","2.1.12.2.NA.NA.NA.4",
"2.1.12.2.4.NA.NA.sub.5.1","2.1.12.2.4.NA.NA.5",
"2.1.12.2.4.NA.NA.sub.5.2","2.1.12.2.4.NA.NA.5",
"2.1.12.2.NA.NA.NA.sub.4.1","2.1.12.2.NA.NA.NA.4",
"2.1.12.2.NA.NA.NA.sub.4.2","2.1.12.2.NA.NA.NA.4",
"2.1.12.3.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.3.1.NA.NA.5","2.1.12.3.NA.NA.NA.4",
"2.1.12.3.1.NA.NA.sub.5.1","2.1.12.3.1.NA.NA.5",
"2.1.12.3.1.NA.NA.sub.5.2","2.1.12.3.1.NA.NA.5",
"2.1.12.3.2.NA.NA.5","2.1.12.3.NA.NA.NA.4",
"2.1.12.3.2.NA.NA.sub.5.1","2.1.12.3.2.NA.NA.5",
"2.1.12.3.2.NA.NA.sub.5.2","2.1.12.3.2.NA.NA.5",
"2.1.12.3.2.NA.NA.sub.5.3","2.1.12.3.2.NA.NA.5",
"2.1.12.3.NA.NA.NA.sub.4.1","2.1.12.3.NA.NA.NA.4",
"2.1.12.3.NA.NA.NA.sub.4.2","2.1.12.3.NA.NA.NA.4",
"2.1.12.3.NA.NA.NA.sub.4.3","2.1.12.3.NA.NA.NA.4",
"2.1.12.4.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.4.1.NA.NA.5","2.1.12.4.NA.NA.NA.4",
"2.1.12.4.1.NA.NA.sub.5.1","2.1.12.4.1.NA.NA.5",
"2.1.12.4.1.NA.NA.sub.5.2","2.1.12.4.1.NA.NA.5",
"2.1.12.4.2.NA.NA.5","2.1.12.4.NA.NA.NA.4",
"2.1.12.4.2.NA.NA.sub.5.1","2.1.12.4.2.NA.NA.5",
"2.1.12.4.2.NA.NA.sub.5.2","2.1.12.4.2.NA.NA.5",
"2.1.12.4.3.NA.NA.5","2.1.12.4.NA.NA.NA.4",
"2.1.12.4.3.NA.NA.sub.5.1","2.1.12.4.3.NA.NA.5",
"2.1.12.4.3.NA.NA.sub.5.2","2.1.12.4.3.NA.NA.5",
"2.1.12.4.NA.NA.NA.sub.4.1","2.1.12.4.NA.NA.NA.4",
"2.1.12.5.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.5.NA.NA.NA.sub.4.1","2.1.12.5.NA.NA.NA.4",
"2.1.12.5.NA.NA.NA.sub.4.2","2.1.12.5.NA.NA.NA.4",
"2.1.12.6.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.6.NA.NA.NA.sub.4.1","2.1.12.6.NA.NA.NA.4",
"2.1.12.6.NA.NA.NA.sub.4.2","2.1.12.6.NA.NA.NA.4",
"2.1.12.7.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.7.1.NA.NA.5","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.1.NA.NA.sub.5.1","2.1.12.7.1.NA.NA.5",
"2.1.12.7.1.NA.NA.sub.5.2","2.1.12.7.1.NA.NA.5",
"2.1.12.7.2.NA.NA.5","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.2.NA.NA.sub.5.1","2.1.12.7.2.NA.NA.5",
"2.1.12.7.2.NA.NA.sub.5.2","2.1.12.7.2.NA.NA.5",
"2.1.12.7.3.NA.NA.5","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.3.NA.NA.sub.5.1","2.1.12.7.3.NA.NA.5",
"2.1.12.7.3.NA.NA.sub.5.2","2.1.12.7.3.NA.NA.5",
"2.1.12.7.4.NA.NA.5","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.4.NA.NA.sub.5.1","2.1.12.7.4.NA.NA.5",
"2.1.12.7.4.NA.NA.sub.5.2","2.1.12.7.4.NA.NA.5",
"2.1.12.7.5.NA.NA.5","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.5.NA.NA.sub.5.1","2.1.12.7.5.NA.NA.5",
"2.1.12.7.5.NA.NA.sub.5.2","2.1.12.7.5.NA.NA.5",
"2.1.12.7.5.NA.NA.sub.5.3","2.1.12.7.5.NA.NA.5",
"2.1.12.7.NA.NA.NA.sub.4.1","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.NA.NA.NA.sub.4.2","2.1.12.7.NA.NA.NA.4",
"2.1.12.7.NA.NA.NA.sub.4.3","2.1.12.7.NA.NA.NA.4",
"2.1.12.8.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.8.1.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.1.NA.NA.sub.5.1","2.1.12.8.1.NA.NA.5",
"2.1.12.8.1.NA.NA.sub.5.2","2.1.12.8.1.NA.NA.5",
"2.1.12.8.2.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.2.1.NA.6","2.1.12.8.2.NA.NA.5",
"2.1.12.8.2.1.1.7","2.1.12.8.2.1.NA.6",
"2.1.12.8.2.1.NA.sub.6.1","2.1.12.8.2.1.NA.6",
"2.1.12.8.2.1.NA.sub.6.2","2.1.12.8.2.1.NA.6",
"2.1.12.8.2.NA.NA.sub.5.1","2.1.12.8.2.NA.NA.5",
"2.1.12.8.2.NA.NA.sub.5.2","2.1.12.8.2.NA.NA.5",
"2.1.12.8.2.NA.NA.sub.5.3","2.1.12.8.2.NA.NA.5",
"2.1.12.8.3.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.3.NA.NA.sub.5.1","2.1.12.8.3.NA.NA.5",
"2.1.12.8.3.NA.NA.sub.5.2","2.1.12.8.3.NA.NA.5",
"2.1.12.8.3.NA.NA.sub.5.3","2.1.12.8.3.NA.NA.5",
"2.1.12.8.4.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.4.NA.NA.sub.5.1","2.1.12.8.4.NA.NA.5",
"2.1.12.8.4.NA.NA.sub.5.2","2.1.12.8.4.NA.NA.5",
"2.1.12.8.4.NA.NA.sub.5.3","2.1.12.8.4.NA.NA.5",
"2.1.12.8.5.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.5.NA.NA.sub.5.1","2.1.12.8.5.NA.NA.5",
"2.1.12.8.5.NA.NA.sub.5.2","2.1.12.8.5.NA.NA.5",
"2.1.12.8.5.NA.NA.sub.5.3","2.1.12.8.5.NA.NA.5",
"2.1.12.8.5.NA.NA.sub.5.4","2.1.12.8.5.NA.NA.5",
"2.1.12.8.6.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.6.1.NA.6","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.1.1.7","2.1.12.8.6.1.NA.6",
"2.1.12.8.6.1.1.sub.7.1","2.1.12.8.6.1.1.7",
"2.1.12.8.6.1.1.sub.7.2","2.1.12.8.6.1.1.7",
"2.1.12.8.6.1.NA.sub.6.1","2.1.12.8.6.1.NA.6",
"2.1.12.8.6.1.NA.sub.6.2","2.1.12.8.6.1.NA.6",
"2.1.12.8.6.2.NA.6","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.2.1.7","2.1.12.8.6.2.NA.6",
"2.1.12.8.6.2.1.sub.7.1","2.1.12.8.6.2.1.7",
"2.1.12.8.6.2.1.sub.7.2","2.1.12.8.6.2.1.7",
"2.1.12.8.6.2.1.sub.7.3","2.1.12.8.6.2.1.7",
"2.1.12.8.6.2.NA.sub.6.1","2.1.12.8.6.2.NA.6",
"2.1.12.8.6.2.NA.sub.6.2","2.1.12.8.6.2.NA.6",
"2.1.12.8.6.2.NA.sub.6.3","2.1.12.8.6.2.NA.6",
"2.1.12.8.6.3.NA.6","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.3.NA.sub.6.1","2.1.12.8.6.3.NA.6",
"2.1.12.8.6.3.NA.sub.6.2","2.1.12.8.6.3.NA.6",
"2.1.12.8.6.4.NA.6","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.4.NA.sub.6.1","2.1.12.8.6.4.NA.6",
"2.1.12.8.6.5.NA.6","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.5.NA.sub.6.1","2.1.12.8.6.5.NA.6",
"2.1.12.8.6.5.NA.sub.6.2","2.1.12.8.6.5.NA.6",
"2.1.12.8.6.6.NA.6","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.6.1.7","2.1.12.8.6.6.NA.6",
"2.1.12.8.6.6.1.sub.7.1","2.1.12.8.6.6.1.7",
"2.1.12.8.6.6.1.sub.7.2","2.1.12.8.6.6.1.7",
"2.1.12.8.6.6.1.sub.7.3","2.1.12.8.6.6.1.7",
"2.1.12.8.6.6.NA.sub.6.1","2.1.12.8.6.6.NA.6",
"2.1.12.8.6.6.NA.sub.6.2","2.1.12.8.6.6.NA.6",
"2.1.12.8.6.NA.NA.sub.5.1","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.NA.NA.sub.5.2","2.1.12.8.6.NA.NA.5",
"2.1.12.8.6.NA.NA.sub.5.3","2.1.12.8.6.NA.NA.5",
"2.1.12.8.7.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.7.1.NA.6","2.1.12.8.7.NA.NA.5",
"2.1.12.8.7.1.NA.sub.6.1","2.1.12.8.7.1.NA.6",
"2.1.12.8.7.2.NA.6","2.1.12.8.7.NA.NA.5",
"2.1.12.8.7.2.NA.sub.6.1","2.1.12.8.7.2.NA.6",
"2.1.12.8.7.2.NA.sub.6.2","2.1.12.8.7.2.NA.6",
