"name","parent"
"3.1.3.2.NA.NA.NA.4","3.1.3.NA.NA.NA.NA.3"
"3.1.3.2.1.NA.NA.sub.5.1","3.1.3.2.1.NA.NA.5"
"3.1.3.2.1.NA.NA.sub.5.2","3.1.3.2.1.NA.NA.5"
"3.1.3.2.1.NA.NA.sub.5.3","3.1.3.2.1.NA.NA.5"
"3.1.3.2.NA.NA.NA.sub.4.1","3.1.3.2.NA.NA.NA.4"
"3.1.3.2.NA.NA.NA.sub.4.2","3.1.3.2.NA.NA.NA.4"
"3.1.3.3.NA.NA.NA.4","3.1.3.NA.NA.NA.NA.3"
"3.1.3.3.NA.NA.NA.sub.4.1","3.1.3.3.NA.NA.NA.4"
"3.1.3.3.NA.NA.NA.sub.4.2","3.1.3.3.NA.NA.NA.4"
"3.1.3.3.NA.NA.NA.sub.4.3","3.1.3.3.NA.NA.NA.4"
"3.1.3.NA.NA.NA.NA.sub.3.1","3.1.3.NA.NA.NA.NA.3"
"3.1.3.NA.NA.NA.NA.sub.3.2","3.1.3.NA.NA.NA.NA.3"
"3.1.3.NA.NA.NA.NA.sub.3.3","3.1.3.NA.NA.NA.NA.3"
"3.1.4.1.1.NA.NA.5","3.1.4.1.NA.NA.NA.4"
"3.1.4.1.NA.NA.NA.4","3.1.4.NA.NA.NA.NA.3"
"3.1.4.NA.NA.NA.NA.3","3.1.NA.NA.NA.NA.NA.2"
"3.1.4.1.1.NA.NA.sub.5.1","3.1.4.1.1.NA.NA.5"
"3.1.4.1.1.NA.NA.sub.5.2","3.1.4.1.1.NA.NA.5"
"3.1.4.1.1.NA.NA.sub.5.3","3.1.4.1.1.NA.NA.5"
"3.1.4.1.2.NA.NA.5","3.1.4.1.NA.NA.NA.4"
"3.1.4.1.2.NA.NA.sub.5.1","3.1.4.1.2.NA.NA.5"
"3.1.4.1.2.NA.NA.sub.5.2","3.1.4.1.2.NA.NA.5"
"3.1.4.1.NA.NA.NA.sub.4.1","3.1.4.1.NA.NA.NA.4"
"3.1.4.1.NA.NA.NA.sub.4.2","3.1.4.1.NA.NA.NA.4"
"3.1.4.2.NA.NA.NA.4","3.1.4.NA.NA.NA.NA.3"
"3.1.4.2.NA.NA.NA.sub.4.1","3.1.4.2.NA.NA.NA.4"
"3.1.4.2.NA.NA.NA.sub.4.2","3.1.4.2.NA.NA.NA.4"
"3.1.4.2.NA.NA.NA.sub.4.3","3.1.4.2.NA.NA.NA.4"
"3.1.4.3.1.NA.NA.5","3.1.4.3.NA.NA.NA.4"
"3.1.4.3.NA.NA.NA.4","3.1.4.NA.NA.NA.NA.3"
"3.1.4.3.1.NA.NA.sub.5.1","3.1.4.3.1.NA.NA.5"
"3.1.4.3.1.NA.NA.sub.5.2","3.1.4.3.1.NA.NA.5"
"3.1.4.3.1.NA.NA.sub.5.3","3.1.4.3.1.NA.NA.5"
"3.1.4.3.NA.NA.NA.sub.4.1","3.1.4.3.NA.NA.NA.4"
"3.1.4.3.NA.NA.NA.sub.4.2","3.1.4.3.NA.NA.NA.4"
"3.1.4.4.1.NA.NA.sub.5.1","3.1.4.4.1.NA.NA.5"
"3.1.4.4.1.NA.NA.5","3.1.4.4.NA.NA.NA.4"
"3.1.4.4.NA.NA.NA.4","3.1.4.NA.NA.NA.NA.3"
"3.1.4.4.1.NA.NA.sub.5.2","3.1.4.4.1.NA.NA.5"
"3.1.4.4.1.NA.NA.sub.5.3","3.1.4.4.1.NA.NA.5"
